slonget Augezdecki-01b 001:00033 [B];file:../../DjVu/Augezdecki-01b.djvu?djvuopts=&highlight=01829,00103,00026,00065&page=001;+ Augezdecki-01b.djvu p 1 x 1829 y 103 h 26 w 65;※ 0_Augezdecki-01b_PT08_404.djvu 00035 (35) new
slonget Augezdecki-02 001:00103 [B];file:../../DjVu/Augezdecki-02.djvu?djvuopts=&highlight=00907,00464,00031,00065&page=001;+ Augezdecki-02.djvu p 1 x 907 y 464 h 31 w 65;※ 0_Augezdecki-02_PT08_405.djvu 00105 (105) new
slonget Augezdecki-02 001:00104 [B];file:../../DjVu/Augezdecki-02.djvu?djvuopts=&highlight=945,447,51,93&page=1;+# Augezdecki-02.djvu p 1 x 956 y 500 h 67 w 29;※ 0_Augezdecki-02_PT08_405.djvu 00106 (106) add
slong+!0 Augezdecki-03 001:00100 [B];file:../../DjVu/Augezdecki-03.djvu?djvuopts=&highlight=00761,00192,00027,00052&page=001;+ Augezdecki-03.djvu p 1 x 761 y 192 h 27 w 52;※ 0_Augezdecki-03_PT08_407.djvu 00102 (102) new
slonget Augezdecki-06 001:00065 [[5];file:../../DjVu/Augezdecki-06.djvu?djvuopts=&highlight=01632,00302,00062,00089&page=001;+ Augezdecki-06.djvu p 1 x 1632 y 302 h 62 w 89;※ 0_Augezdecki-06_PT08_408.djvu 00067 (67) new
slonget Haller-04 001:00139 [6];file:../../DjVu/Haller-04.djvu?djvuopts=&highlight=02022,00176,00046,00076&page=001;+ Haller-04.djvu p 1 x 2022 y 176 h 46 w 76;※ 0_Haller-04_PT04_167.djvu 00141 (141) new
slong+3! Haller-06 001:00108 [f.];file:../../DjVu/Haller-06.djvu?djvuopts=&highlight=00544,00061,00020,00041&page=001;+ Haller-06.djvu p 1 x 544 y 61 h 20 w 41;※ 0_Haller-06_PT04_169.djvu 00110 (110) new
slong Haller-07 001:00119 [6];file:../../DjVu/Haller-07.djvu?djvuopts=&highlight=00743,00332,00032,00060&page=001;slong+3!+ Haller-07.djvu p 1 x 743 y 332 h 32 w 60;※ 0_Haller-07_PT04_170.djvu 00122 (122) new
slong&3! Haller-08 001:00124 [5];file:../../DjVu/Haller-08.djvu?djvuopts=&highlight=00683,00163,00030,00057&page=001;slong&3!+ Haller-08.djvu p 1 x 683 y 163 h 30 w 57;※ 0_Haller-08_PT04_171.djvu 00126 (126) new
slong&3! Hochfeder-04 001:00071 [$];file:../../DjVu/Hochfeder-04.djvu?djvuopts=&highlight=01158,00203,00048,00072&page=001;slong&3!+Hochfeder-04.djvu p 1 x 1158 y 203 h 48 w 72;※ 0_Hochfeder-04_PT01_022.djvu 00073 (73) new
slong&3! Ungler1-01 001:00079 [z];file:../../DjVu/Ungler1-01.djvu?djvuopts=&highlight=00839,00312,00026,00053&page=001;slong&3!+ Ungler1-01.djvu p 1 x 839 y 312 h 26 w 53;※ 0_Ungler1-1_PT03_112.djvu 00081 (81) new
slong&3! Ungler1-02 001:00116 [&];file:../../DjVu/Ungler1-02.djvu?djvuopts=&highlight=00405,00100,00031,00052&page=001;slong&3!+Ungler1-02.djvu p 1 x 405 y 100 h 31 w 52;※ 0_Ungler1-02_PT03_113.djvu 00118 (118) new
slong&3! Ungler2-09 001:00119 [É];file:../../DjVu/Ungler2-09.djvu?djvuopts=&highlight=00734,00165,00028,00056&page=001;slong&3!+ Ungler2-09.djvu p 1 x 734 y 165 h 28 w 56;※ 0_Ungler2-09_PT05_244.djvu 00121 (121) new
slong&3! Ungler2-16 001:00110 [6];file:../../DjVu/Ungler2-16.djvu?djvuopts=&highlight=00710,00308,00026,00046&page=001;slong&3!+ Ungler2-16.djvu p 1 x 710 y 308 h 26 w 46;※ 0_Ungler2-16_PT07_359.djvu 00112 (112) new
slong&3! Ungler2-18 001:00091 [];file:../../DjVu/Ungler2-18.djvu?djvuopts=&highlight=336,128,37,90&page=1;slong&3!+# Ungler2-18.djvu p 1 x 338 y 176 h 70 w 30;※ 0_Ungler2-18_PT07_360.djvu 00093 (93) add
slong&3! Ungler2-18 001:00092 [:];file:../../DjVu/Ungler2-18.djvu?djvuopts=&highlight=00379,00149,00027,00056&page=001;slong&3!+ Ungler2-18.djvu p 1 x 379 y 149 h 27 w 56;※ 0_Ungler2-18_PT07_360.djvu 00094 (94) new
slong&3! Ungler2-19 001:00070 [i];file:../../DjVu/Ungler2-19.djvu?djvuopts=&highlight=01830,00312,00046,00120&page=001;slong&3!+ Ungler2-19.djvu p 1 x 1830 y 312 h 46 w 120;※ 0_Ungler2-19_PT07_360.djvu 00072 (72) new
slong&3! Ungler2-19 001:00071 [[];file:../../DjVu/Ungler2-19.djvu?djvuopts=&highlight=01891,00313,00043,00096&page=001;slong&3!+Ungler2-19.djvu p 1 x 1891 y 313 h 43 w 96;※ 0_Ungler2-19_PT07_360.djvu 00073 (73) new
